timestamp,open,high,low,close
117,1043.99,1043.99,1043.99,1043.99
118,1043.99,1043.99,1043.99,1043.99
119,1038.58,1039.4,1017.4,1018.51
120,1017.14,1030.21,1016.18,1026.07
121,1026.35,1029.05,1022.22,1024.75
122,1026.84,1027.57,1020.08,1020.68
123,1020.46,1022.03,1016.36,1016.39
124,1016.4,1018.79,1015.96,1017.26
125,1017.02,1021.27,1013.45,1015.48
126,1015.49,1016.2,1009.81,1012.3
127,1011.97,1012.15,1007.81,1009.06
128,1009.06,1016.89,1009.05,1016.38
129,1016.39,1020.57,1015.39,1020.22
130,1019.59,1021.85,1012.83,1013.66
131,1013.44,1015.14,1010.86,1012.16
132,1012.39,1012.41,1012.39,1012.41
133,1012.41,1012.41,1012.41,1012.41
134,1026.54,1037.86,1026.54,1031.68
135,1026.85,1034.26,1026,1027.88
136,1027.9,1035.76,1027.87,1035.76
137,1037.11,1038.85,1035.79,1037.44
138,1037.5,1041.06,1037.34,1040.42
139,1040.5,1040.8,1036.14,1036.73
140,1036.76,1041.71,1036.21,1041.03
141,1040.38,1041.58,1038.15,1038.63
142,1038.67,1039.57,1035.85,1035.98
143,1036.09,1038.65,1036.09,1037.08
144,1037.25,1040.55,1037.22,1038.89
145,1038.85,1040.41,1037.42,1037.52
146,1037.6,1042.02,1037,1040.78
147,1041.02,1041.02,1041.02,1041.02
148,1041.02,1041.02,1041.02,1041.02
149,1042.72,1054.17,1041.79,1049.1
150,1048.2,1050.58,1044.68,1044.98
151,1044.56,1047.09,1042.93,1043.89
152,1044.18,1048.29,1042.82,1045.64
153,1045.61,1046.93,1043.36,1045.16
154,1045.21,1049.21,1044.14,1045.48
155,1045.53,1048.03,1044.97,1046.71
156,1046.75,1050.58,1045.88,1050.12
157,1050.28,1053.79,1049.63,1052.81
158,1052.85,1058.06,1052.73,1057.81
159,1057.4,1059.56,1056.74,1058.65
160,1058.71,1059.37,1057.36,1057.94
161,1057.8,1058.73,1050.86,1051.82
162,1051.65,1051.65,1051.65,1051.65
163,1051.65,1051.65,1051.65,1051.65
